Frame,Time (s),X (µm),Y (µm)
0,0.0,31.817,23.085
1,0.08,31.768,23.13
2,0.16,32.235,23.199
3,0.24,32.419,23.428
4,0.32,31.959,23.497
5,0.4,31.958,23.378
6,0.48,31.783,23.443
7,0.56,31.825,23.438
8,0.64,31.374,23.301
9,0.72,31.442,23.378
10,0.8,31.508,23.483
11,0.88,31.949,23.202
12,0.96,32.038,23.497
13,1.04,32.181,23.735
14,1.12,31.763,23.962
15,1.2,32.394,23.193
16,1.28,31.857,23.231
17,1.36,32.166,23.2
18,1.44,32.074,22.923
19,1.52,31.827,23.091
20,1.6,31.643,22.671
21,1.68,31.455,23.023
22,1.76,31.561,23.136
23,1.84,31.53,22.998
24,1.92,31.946,23.404
25,2.0,31.433,23.539
26,2.08,31.432,23.637
27,2.16,31.182,23.274
28,2.24,31.4,23.426
29,2.32,30.806,23.827
30,2.4,30.71,24.142
31,2.48,30.769,23.781
32,2.56,30.353,24.177
33,2.64,30.629,24.632
34,2.72,30.679,24.873
35,2.8,30.961,24.767
36,2.88,31.23,24.345
37,2.96,30.955,24.089
38,3.04,30.732,23.926
39,3.12,30.675,24.004
40,3.2,30.885,24.159
41,3.28,31.123,23.948
42,3.36,30.924,23.484
43,3.44,30.754,23.365
44,3.52,30.53,22.986
45,3.6,30.367,23.358
46,3.68,30.3,23.005
47,3.76,30.263,23.135
48,3.84,30.84,23.361
49,3.92,30.698,23.076
50,4.0,30.617,23.351
51,4.08,30.746,23.302
52,4.16,30.478,23.068
53,4.24,30.375,22.79
54,4.32,30.379,22.809
55,4.4,30.596,23.101
56,4.48,30.227,22.552
57,4.56,30.611,22.712
58,4.64,30.513,22.656
59,4.72,30.56,22.429
60,4.8,30.797,22.386
61,4.88,30.983,22.369
62,4.96,31.279,22.338
63,5.04,31.328,22.554
64,5.12,31.322,22.285
65,5.2,31.411,22.83
66,5.28,31.132,23.069
67,5.36,31.472,22.888
68,5.44,31.255,22.332
69,5.52,30.902,22.314
70,5.6,31.478,22.187
71,5.68,31.44,22.387
72,5.76,31.109,22.581
73,5.84,31.628,23.113
74,5.92,31.536,23.068
75,6.0,31.834,23.283
76,6.08,31.601,23.156
77,6.16,31.532,23.044
78,6.24,31.058,23.472
79,6.32,30.524,23.427
80,6.4,30.25,23.392
81,6.48,30.228,23.287
82,6.56,30.452,23.376
83,6.64,31.131,23.54
84,6.72,30.842,23.504
85,6.8,31.125,23.178
86,6.88,30.956,23.272
87,6.96,30.913,23.038
88,7.04,30.498,22.936
89,7.12,30.084,22.997
90,7.2,29.866,23.067
91,7.28,29.531,22.411
92,7.36,29.53,22.893
93,7.44,29.333,23.119
94,7.52,29.684,23.667
95,7.6,29.727,24.38
96,7.68,29.773,24.114
97,7.76,30.092,23.954
98,7.84,30.237,24.023
99,7.92,30.226,24.285
100,8.0,30.201,24.138
101,8.08,30.167,24.045
102,8.16,30.469,24.344
103,8.24,30.688,24.088
104,8.32,30.791,24.143
105,8.4,31.015,24.443
106,8.48,30.862,24.362
107,8.56,31.005,24.574
108,8.64,30.609,24.532
109,8.72,30.987,24.074
110,8.8,31.012,23.909
111,8.88,31.064,23.839
112,8.96,31.231,23.73
113,9.04,31.229,23.722
114,9.12,31.158,23.818
115,9.2,31.491,23.882
116,9.28,31.523,23.913
117,9.36,31.267,23.771
118,9.44,31.39,23.687
119,9.52,30.912,23.559
120,9.6,31.376,23.369
121,9.68,31.328,23.731
122,9.76,31.341,23.169
123,9.84,31.973,23.207
124,9.92,32.576,22.715
125,10.0,32.609,22.515
126,10.08,32.784,22.708
127,10.16,33.089,22.594
128,10.24,33.561,22.953
129,10.32,33.524,22.648
130,10.4,33.562,22.526
131,10.48,33.905,22.307
132,10.56,33.98,22.268
133,10.64,34.192,22.136
134,10.72,34.363,21.984
135,10.8,34.045,21.961
136,10.88,33.804,22.224
137,10.96,33.064,22.216
138,11.04,32.991,22.18
139,11.12,33.366,22.044
140,11.2,33.055,21.789
141,11.28,33.401,21.324
142,11.36,33.681,20.97
143,11.44,33.666,20.919
144,11.52,33.664,20.318
145,11.6,33.687,20.438
146,11.68,33.446,20.255
147,11.76,33.366,19.925
148,11.84,33.353,19.705
149,11.92,33.525,19.823
150,12.0,33.747,19.859
151,12.08,33.539,19.867
152,12.16,33.77,20.298
153,12.24,33.552,20.896
154,12.32,33.505,20.478
155,12.4,33.608,20.673
156,12.48,33.602,20.408
157,12.56,33.566,19.974
158,12.64,33.642,19.783
159,12.72,33.487,20.03
160,12.8,33.304,19.907
161,12.88,33.247,19.741
162,12.96,33.516,20.109
163,13.04,33.488,20.229
164,13.12,34.021,20.187
165,13.2,34.081,20.681
166,13.28,33.248,20.806
167,13.36,33.125,20.592
168,13.44,33.591,20.278
169,13.52,33.593,20.154
170,13.6,33.47,20.199
171,13.68,33.226,20.463
172,13.76,33.597,20.701
173,13.84,33.877,20.735
174,13.92,34.066,20.406
175,14.0,34.186,20.67
176,14.08,34.589,20.698
177,14.16,34.819,20.392
178,14.24,34.475,20.044
179,14.32,34.69,20.106
180,14.4,34.738,20.202
181,14.48,34.707,20.429
182,14.56,34.921,20.082
183,14.64,34.929,20.619
184,14.72,34.107,20.102
185,14.8,34.543,20.086
186,14.88,34.834,20.458
187,14.96,34.8,20.746
188,15.04,34.695,20.469
189,15.12,34.759,20.634
190,15.2,34.399,20.974
191,15.28,34.485,21.174
192,15.36,34.42,20.887
193,15.44,34.321,21.349
194,15.52,34.063,20.879
195,15.6,33.873,20.879
196,15.68,34.182,20.565
197,15.76,34.557,20.43
198,15.84,34.697,20.322
199,15.92,34.685,20.447
200,16.0,34.439,20.074
201,16.08,34.64,20.119
202,16.16,35.091,20.468
203,16.24,34.639,20.473
204,16.32,34.968,20.609
205,16.4,34.361,20.713
206,16.48,34.266,20.484
207,16.56,34.374,20.361
208,16.64,33.991,20.356
209,16.72,33.566,20.472
210,16.8,33.618,21.027
211,16.88,33.864,21.469
212,16.96,33.731,21.318
213,17.04,34.107,21.177
214,17.12,33.889,20.871
215,17.2,34.38,20.197
216,17.28,34.414,20.548
217,17.36,34.48,20.678
218,17.44,34.652,20.108
219,17.52,34.742,20.092
220,17.6,35.259,20.739
221,17.68,35.877,20.859
222,17.76,36.03,20.984
223,17.84,35.984,21.024
224,17.92,35.654,20.79
225,18.0,35.443,20.441
226,18.08,35.446,20.189
227,18.16,35.417,20.215
228,18.24,35.405,20.131
229,18.32,35.406,20.313
230,18.4,35.545,20.797
231,18.48,35.167,20.952
232,18.56,34.879,21.177
233,18.64,35.194,21.064
234,18.72,35.429,20.686
235,18.8,35.279,21.288
236,18.88,35.641,21.483
237,18.96,35.452,21.808
238,19.04,35.381,21.692
239,19.12,34.87,21.201
240,19.2,35.107,21.565
241,19.28,35.105,20.945
242,19.36,35.405,20.888
243,19.44,35.603,20.726
244,19.52,35.631,20.779
245,19.6,35.678,21.0
246,19.68,36.014,21.223
247,19.76,35.971,20.617
248,19.84,35.931,20.889
249,19.92,35.954,20.338
250,20.0,36.183,20.519
251,20.08,36.446,20.384
252,20.16,36.988,20.051
253,20.24,36.971,19.89
254,20.32,37.332,19.505
255,20.4,37.157,19.491
256,20.48,37.335,19.749
257,20.56,37.38,19.967
258,20.64,37.876,19.969
259,20.72,38.058,20.273
260,20.8,37.944,20.407
261,20.88,38.117,21.011
262,20.96,38.227,21.149
263,21.04,38.15,20.971
264,21.12,38.081,20.879
265,21.2,37.829,20.654
266,21.28,38.615,20.563
267,21.36,38.666,20.512
268,21.44,38.953,20.699
269,21.52,38.64,20.912
270,21.6,38.349,20.918
271,21.68,38.32,21.03
272,21.76,38.292,20.811
